rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
67,,"Idi i smotri",1985,http://www.icheckmovies.com/movies/idi+i+smotri/,6092,1353,57,25,701,"Come and See",http://www.imdb.com/title/tt0091251/,"2010-01-30 15:23:27",no,no,no,no
68,,Salvador,1986,http://www.icheckmovies.com/movies/salvador/,2330,113,11,6,200,,http://www.imdb.com/title/tt0091886/,no,no,no,no,no
69,,Platoon,1986,http://www.icheckmovies.com/movies/platoon/,42994,2232,169,21,736,,http://www.imdb.com/title/tt0091763/,"2010-01-30 15:23:27",no,no,no,no
70,,"Full Metal Jacket",1987,http://www.icheckmovies.com/movies/full+metal+jacket/,67752,5989,199,17,989,,http://www.imdb.com/title/tt0093058/,"2010-01-30 15:23:27",no,no,no,no
71,,"Hope and Glory",1987,http://www.icheckmovies.com/movies/hope+and+glory/,1658,84,12,8,174,,http://www.imdb.com/title/tt0093209/,no,no,no,no,no
72,,"Empire of the Sun",1987,http://www.icheckmovies.com/movies/empire+of+the+sun/,11429,827,49,8,284,,http://www.imdb.com/title/tt0092965/,"2010-01-30 15:23:27",no,no,no,no
73,,"Good Morning, Vietnam",1987,http://www.icheckmovies.com/movies/good+morning+vietnam/,22256,840,93,7,276,,http://www.imdb.com/title/tt0093105/,"2010-01-30 15:23:27",no,no,no,no
74,,"Hotaru no haka",1988,http://www.icheckmovies.com/movies/hotaru+no+haka/,24507,3185,151,18,790,"Grave of the Fireflies",http://www.imdb.com/title/tt0095327/,"2010-01-30 15:23:27",no,no,no,no
75,,Glory,1989,http://www.icheckmovies.com/movies/glory/,13866,562,74,4,325,,http://www.imdb.com/title/tt0097441/,"2010-01-30 15:23:27",no,no,no,no
76,,"Europa Europa",1990,http://www.icheckmovies.com/movies/europa+europa/,1934,108,10,6,178,"Europa Europe",http://www.imdb.com/title/tt0099776/,no,no,no,no,no
77,,"The Last of the Mohicans",1992,http://www.icheckmovies.com/movies/the+last+of+the+mohicans/,16597,742,127,9,352,,http://www.imdb.com/title/tt0104691/,"2011-11-11 21:54:52",no,no,no,no
78,,Stalingrad,1993,http://www.icheckmovies.com/movies/stalingrad/,1230,73,10,1,77,,http://www.imdb.com/title/tt0108211/,no,no,no,no,no
79,,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,87760,8010,270,32,1318,,http://www.imdb.com/title/tt0108052/,"2010-01-30 15:23:27",no,no,no,no
80,,"Land and Freedom",1995,http://www.icheckmovies.com/movies/land+and+freedom/,844,91,8,6,128,,http://www.imdb.com/title/tt0114671/,no,no,no,no,no
81,,"Welcome to Sarajevo",1997,http://www.icheckmovies.com/movies/welcome+to+sarajevo/,386,8,3,1,39,,http://www.imdb.com/title/tt0120490/,no,no,no,no,no
82,,Regeneration,1997,http://www.icheckmovies.com/movies/regeneration-1997-1/,153,8,4,1,45,,http://www.imdb.com/title/tt0120001/,no,no,no,no,no
83,,"La vita è bella",1997,http://www.icheckmovies.com/movies/la+vita+e+bella/,52174,5642,384,20,762,"Life Is Beautiful",http://www.imdb.com/title/tt0118799/,"2010-01-30 15:23:27",no,no,no,no
84,,"Saving Private Ryan",1998,http://www.icheckmovies.com/movies/saving+private+ryan/,98429,6650,425,27,1079,,http://www.imdb.com/title/tt0120815/,"2010-01-30 15:23:27",no,no,no,no
85,,"The Thin Red Line",1998,http://www.icheckmovies.com/movies/the+thin+red+line/,22076,1573,216,13,672,,http://www.imdb.com/title/tt0120863/,"2010-01-30 15:23:28",no,no,no,no
86,,"Three Kings",1999,http://www.icheckmovies.com/movies/three+kings/,16426,592,117,5,277,,http://www.imdb.com/title/tt0120188/,"2015-05-24 04:56:17",no,no,no,no
87,,"Ride with the Devil",1999,http://www.icheckmovies.com/movies/ride+with+the+devil/,1040,23,13,3,72,,http://www.imdb.com/title/tt0134154/,"2020-02-04 00:22:35",no,no,no,no
88,,"Musíme si pomáhat",2000,http://www.icheckmovies.com/movies/musime+si+pomahat/,259,18,1,2,81,"Divided We Fall",http://www.imdb.com/title/tt0234288/,no,no,no,no,no
89,,"Guizi lai le",2000,http://www.icheckmovies.com/movies/guizi+lai+le/,595,89,3,8,203,"Devils on the Doorstep",http://www.imdb.com/title/tt0245929/,no,no,no,no,no
90,,"Tmavomodrý svet",2001,http://www.icheckmovies.com/movies/tmavomodry+svet/,162,6,3,1,38,"Dark Blue World",http://www.imdb.com/title/tt0244479/,no,no,no,no,no
91,,"No Man's Land",2001,http://www.icheckmovies.com/movies/no+mans+land/,4368,363,26,4,235,,http://www.imdb.com/title/tt0283509/,"2010-01-30 15:23:27",no,no,no,no
92,,Enigma,2001,http://www.icheckmovies.com/movies/enigma/,902,16,21,1,38,,http://www.imdb.com/title/tt0157583/,no,no,no,no,no
93,,"Black Hawk Down",2001,http://www.icheckmovies.com/movies/black+hawk+down/,27122,1190,238,6,369,,http://www.imdb.com/title/tt0265086/,"2010-01-30 15:23:26",no,no,no,no
94,,"The Pianist",2002,http://www.icheckmovies.com/movies/the+pianist/,67433,5482,216,20,839,,http://www.imdb.com/title/tt0253474/,"2010-01-30 15:23:28",no,no,no,no
95,,"Master and Commander: The Far Side of the World",2003,http://www.icheckmovies.com/movies/master+and+commander+the+far+side+of+the+world/,26748,1180,271,8,350,,http://www.imdb.com/title/tt0311113/,"2010-01-30 15:23:27",no,no,no,no
96,,"Taegukgi hwinalrimyeo",2004,http://www.icheckmovies.com/movies/taegukgi+hwinalrimyeo/,3302,334,50,3,164,"Tae Guk Gi: The Brotherhood of War",http://www.imdb.com/title/tt0386064/,"2010-01-30 15:23:28",no,no,no,no
97,,"Der Untergang",2004,http://www.icheckmovies.com/movies/der+untergang/,32175,2222,109,15,584,Downfall,http://www.imdb.com/title/tt0363163/,"2010-01-30 15:23:27",no,no,no,no
98,,"Hotel Rwanda",2004,http://www.icheckmovies.com/movies/hotel+rwanda/,44460,2278,138,11,407,,http://www.imdb.com/title/tt0395169/,"2010-01-30 15:23:27",no,no,no,no
99,,"Joyeux Noël",2005,http://www.icheckmovies.com/movies/joyeux+noel/,2953,251,20,3,130,"Merry Christmas",http://www.imdb.com/title/tt0424205/,"2016-12-31 20:22:47",no,no,no,no
100,,Zwartboek,2006,http://www.icheckmovies.com/movies/zwartboek/,6670,449,46,5,257,"Black Book",http://www.imdb.com/title/tt0389557/,no,no,no,no,no
101,,"Die Fälscher",2007,http://www.icheckmovies.com/movies/die+falscher/,3808,249,13,3,162,"The Counterfeiters",http://www.imdb.com/title/tt0813547/,no,no,no,no,no
